Date,Equity,Daily_Return,Drawdown
2026-03-03,10558.94,0.0,0.0
2026-03-04,11480.78,0.0577600964080982,0.0
2026-03-04,11480.78,0.0577600964080982,0.0
2026-03-04,11480.78,0.0577600964080982,0.0
2026-03-04,11480.78,0.0577600964080982,0.0
2026-03-04,11480.78,0.0577600964080982,0.0
2026-03-05,11717.58,0.0206257762974291,0.0
2026-03-05,11717.58,0.0206257762974291,0.0
2026-03-06,11825.52,0.0092117997060827,0.0
2026-03-07,11825.52,0.0,0.0
2026-03-08,11825.52,0.0,0.0
2026-03-09,11857.01,0.0026628850147816,0.0
2026-03-10,10525.21,-0.1123217404725138,0.1123217404725138
2026-03-11,10406.5,-0.0112786348205877,0.1223335393998993
2026-03-12,10456.09,0.0047652909239417,0.1181512033809535
2026-03-13,10486.16,0.0028758359960558,0.115615150868558
2026-03-14,10486.16,0.0,0.115615150868558
2026-03-15,10486.16,0.0,0.115615150868558
